"R0","r","K","I0","trough_index","x_in","q_lineage","Q_burnout","P_persistence","cumulative_persistence","burnout_at_this_trough","m_raw","m_used","entry_status","integration_converged","troughs_found","termination_status"
2.92625,0.01,10000,1,4,0.202619889958149,0.999999992956376,0.99999984504029,1.54959709594319e-07,0,0,22.4951968703795,22,"success",TRUE,5,"requested_troughs_found"
2.92625,0.01,10000,1,5,0.225283798857991,0.999998902539512,0.999975856147492,2.41438525082811e-05,0,0,22.4951968703795,22,"success",TRUE,5,"requested_troughs_found"
3.025,0.01,10000,1,1,0.0612446664204988,1,1,0,0,1,22.1296359538283,22,"success",TRUE,5,"requested_troughs_found"
3.025,0.01,10000,1,2,0.119781328544541,1,1,0,0,0,22.1296359538283,22,"success",TRUE,5,"requested_troughs_found"
3.025,0.01,10000,1,3,0.160724914625917,0.99999999999988,0.999999999997352,2.64765986912273e-12,0,0,22.1296359538283,22,"success",TRUE,5,"requested_troughs_found"
3.025,0.01,10000,1,4,0.190312733662792,0.999999998168791,0.999999959713408,4.02865915097705e-08,0,0,22.1296359538283,22,"success",TRUE,5,"requested_troughs_found"
3.025,0.01,10000,1,5,0.212629875979416,0.999999582784372,0.999990821296403,9.17870359743718e-06,0,0,22.1296359538283,22,"success",TRUE,5,"requested_troughs_found"
3.12375,0.01,10000,1,1,0.0547483610692769,1,1,0,0,1,21.7646082042261,22,"success",TRUE,5,"requested_troughs_found"
3.12375,0.01,10000,1,2,0.110356542798221,1,1,0,0,0,21.7646082042261,22,"success",TRUE,5,"requested_troughs_found"
3.12375,0.01,10000,1,3,0.150016802580999,0.999999999999984,0.999999999999653,3.46833672892841e-13,0,0,21.7646082042261,22,"success",TRUE,5,"requested_troughs_found"
3.12375,0.01,10000,1,4,0.178955477190591,0.999999999542118,0.999999989926607,1.00733931822392e-08,0,0,21.7646082042261,22,"success",TRUE,5,"requested_troughs_found"
3.12375,0.01,10000,1,5,0.200910291680428,0.999999846336881,0.999996619416841,3.38058315881831e-06,0,0,21.7646082042261,22,"success",TRUE,5,"requested_troughs_found"
3.2225,0.01,10000,1,1,0.0489925106144354,1,1,0,0,1,21.4020767718253,21,"success",TRUE,5,"requested_troughs_found"
3.2225,0.01,10000,1,2,0.101784137205987,1,1,0,0,0,21.4020767718253,21,"success",TRUE,5,"requested_troughs_found"
3.2225,0.01,10000,1,3,0.14017269653394,0.999999999999998,0.999999999999958,4.19664303308301e-14,0,0,21.4020767718253,21,"success",TRUE,5,"requested_troughs_found"
3.2225,0.01,10000,1,4,0.168454250225354,0.999999999889769,0.999999997685155,2.31484497981345e-09,0,0,21.4020767718253,21,"success",TRUE,5,"requested_troughs_found"
3.2225,0.01,10000,1,5,0.190035575052069,0.999999945114673,0.999998847408769,1.15259123101434e-06,0,0,21.4020767718253,21,"success",TRUE,5,"requested_troughs_found"
3.32125,0.01,10000,1,1,0.0438840801446523,1,1,0,0,1,21.0435391334612,21,"success",TRUE,5,"requested_troughs_found"
3.32125,0.01,10000,1,2,0.0939735836251621,1,1,0,0,0,21.0435391334612,21,"success",TRUE,5,"requested_troughs_found"
3.32125,0.01,10000,1,3,0.131106936982545,1,0.999999999999995,4.66293670342565e-15,0,0,21.0435391334612,21,"success",TRUE,5,"requested_troughs_found"
