"R0","r","K","I0","x_in","y_BL","I_in","q1","m_raw","m_used","P_burnout","status","boundary_entry_found","integration_converged","integration_absolute_error","integration_subdivisions","t_peak","I_peak","t_in"
1.93875,0.304,10000,1,0.363993061412538,0.0759241453591015,759.241453591015,0.877302413541727,759.241453591015,759,7.08495385988348e-44,"success",TRUE,TRUE,8.31338112909381e-08,5,10.0289537458801,1972.13186909913,14.0504731521994
2.0375,0.304,10000,1,0.325059064685756,0.0759742557115436,759.742557115435,0.887211122596521,759.742557115435,760,3.16594295778497e-40,"success",TRUE,TRUE,2.36984366315269e-07,5,9.17106958672972,2146.7770636651,13.0219221176722
2.13625,0.304,10000,1,0.290518110328732,0.075690840595053,756.90840595053,0.897331069281354,756.90840595053,757,2.42771519114969e-36,"success",TRUE,TRUE,4.91130542332619e-07,5,8.45471002472322,2314.38550690526,12.1663289559042
2.235,0.304,10000,1,0.259880877503315,0.0751597775875962,751.597775875962,0.907360783227077,751.597775875962,752,1.78058875374767e-32,"success",TRUE,TRUE,3.91538289439149e-07,5,7.84703831317982,2474.94513036132,11.4433524044114
2.33375,0.304,10000,1,0.232704768894227,0.0744456547902008,744.456547902008,0.917073002529399,744.456547902008,744,1.06784437297414e-28,"success",TRUE,TRUE,1.55787521385507e-07,5,7.32475710764958,2628.5062126395,10.8245629595313
2.4325,0.304,10000,1,0.208568576804631,0.0735974074946474,735.974074946474,0.926320894496386,735.974074946474,736,3.4390206091941e-25,"success",TRUE,TRUE,4.71000240118841e-07,5,6.870517313165,2775.91348103142,10.2888087365407
2.53125,0.304,10000,1,0.18712181488068,0.0726523395823808,726.523395823808,0.934987900459673,726.523395823808,727,5.96973823660345e-22,"success",TRUE,TRUE,1.19056131256054e-06,5,6.47171098234018,2917.20856842227,9.82074178614938
2.63,0.304,10000,1,0.168035344619285,0.0716390290448033,716.390290448033,0.943013769207184,716.390290448033,716,5.68738163909335e-19,"success",TRUE,TRUE,1.9443419754171e-07,6,6.11858832200587,3052.75436169361,9.40825274380815
2.72875,0.304,10000,1,0.151037275644512,0.0705794515526109,705.794515526109,0.950355852667442,705.794515526109,706,2.44171546542637e-16,"success",TRUE,TRUE,1.11137670738246e-07,6,5.8034507414702,3183.24681611146,9.04231612382802
2.8275,0.304,10000,1,0.135881277909466,0.0694905488832133,694.905488832133,0.957004145896094,694.905488832133,695,5.43380881670414e-14,"success",TRUE,TRUE,5.06505924879548e-07,6,5.52083635896147,3307.60683009505,8.71565741724024
2.92625,0.304,10000,1,0.122348077697094,0.0683853984859535,683.853984859535,0.962971196504595,683.853984859535,684,6.18721520038811e-12,"success",TRUE,TRUE,2.07678101182292e-06,6,5.26542226517442,3427.63968655869,8.4223460703443
3.025,0.304,10000,1,0.110247056783004,0.067274093299638,672.74093299638,0.968282961955119,672.74093299638,673,3.79787947805264e-10,"success",TRUE,TRUE,2.81064653753359e-06,7,5.03359553028458,3542.89533165073,8.1575782494827
3.12375,0.304,10000,1,0.0994230158076448,0.0661644089408473,661.644089408473,0.972967687372783,661.644089408472,662,1.32175917546019e-08,"success",TRUE,TRUE,2.86154475181331e-06,7,4.82217841321531,3653.68226345803,7.91782037841811
3.2225,0.304,10000,1,0.0897185074027656,0.065062313386349,650.62313386349,0.977077108650935,650.62313386349,651,2.77762694243691e-07,"success",TRUE,TRUE,1.34388594216273e-06,7,4.62849521895351,3760.40684076594,7.69940268726148
3.32125,0.304,10000,1,0.0810194219984946,0.063972358965722,639.72358965722,0.980649695945713,639.72358965722,640,3.70590881819903e-06,"success",TRUE,TRUE,3.05185092325572e-07,7,4.45004403630323,3864.45807162063,7.50013917361586
3.42,0.304,10000,1,0.0732142678852749,0.0628979857050033,628.979857050033,0.983735291302619,628.979857050033,629,3.3145184553745e-05,"success",TRUE,TRUE,4.78645110710345e-06,7,4.28598543785664,3962.48672350896,7.31783155393464
3.51875,0.304,10000,1,0.066191716237957,0.0618417573958337,618.417573958337,0.986391351175912,618.417573958337,618,0.000210106742557578,"success",TRUE,TRUE,1.49966847351429e-07,8,4.13385428227253,4057.92946081469,7.14991917212685
3.6175,0.304,10000,1,0.0598805245939355,0.0608055462556518,608.055462556518,0.98865731647913,608.055462556518,608,0.000972382376068162,"success",TRUE,TRUE,1.6139703845144e-07,8,3.99240823973301,4150.71464370606,6.99551975497241
3.71625,0.304,10000,1,0.0541970127067225,0.0597906780488462,597.906780488462,0.990583473690192,597.906780488462,598,0.00349031609635779,"success",TRUE,TRUE,2.69883490632704e-06,7,3.86090402921551,4239.50826151031,6.85283307092298
3.815,0.304,10000,1,0.0490794050072116,0.0587980466153299,587.980466153299,0.992210137457353,587.980466153299,588,0.0100682047464744,"success",TRUE,TRUE,6.59503527740854e-06,7,3.73809387738911,4325.41765086512,6.72099383448041
3.91375,0.304,10000,1,0.0444592785906134,0.0578282045964562,578.282045964562,0.993580859228517,578.282045964562,578,0.0241801573862587,"success",TRUE,TRUE,3.8557114099999e-07,8,3.6232761056116,4408.04371216838,6.59831758902087
4.0125,0.304,10000,1,0.0402953141575214,0.0568814355450743,568.814355450743,0.994726581423284,568.814355450743,569,0.0493649441483258,"success",TRUE,TRUE,6.49677022591011e-07,8,3.51539622873311,4488.77797013539,6.48471710206069
4.11125,0.304,10000,1,0.0365335046124133,0.0559578114061438,559.578114061438,0.995682458053615,559.578114061438,560,0.0886501025517469,"success",TRUE,TRUE,1.02595939302269e-06,8,3.4140478687317,4566.72212499789,6.37882817963728
4.21,0.304,10000,1,0.0331340984595781,0.055057238449343,550.57238449343,0.996476198190782,550.57238449343,551,0.142980962421383,"success",TRUE,TRUE,1.20579244741389e-06,8,3.31870344919679,4641.77465773237,6.28006462417754
4.30875,0.304,10000,1,0.0300602146360256,0.0541794940484231,541.794940484231,0.997132741668029,541.794940484231,542,0.210917921042522,"success",TRUE,TRUE,7.78151003859046e-07,8,3.22871534019816,4714.65058303084,6.1877861695055
4.4075,0.304,10000,1,0.027278660033196,0.0533242561778333,533.242561778333,0.997673880163787,533.242561778333,533,0.289018060456743,"success",TRUE,TRUE,2.28339391943793e-06,8,3.14333637137611,4786.85137097951,6.1013772874388
4.50625,0.304,10000,1,0.024764343215752,0.0524911270946309,524.911270946309,0.998117371338157,524.911270946309,525,0.3718325750372,"success",TRUE,TRUE,1.330059164559e-05,8,3.06298735334929,4854.73111303712,6.02088040857392
