"R01","R02","boundary_event","entry_case","Q1","Q2","surv1","surv2","both_burnout","strain1_only_burnout","strain2_only_burnout","neither_burnout","error_message"
1.2,2.35,"yes","strain2_reentered_before_strain1_escaped",1,0.992304981258795,0,0.00769501874120504,0.992304981258795,0.00769501874120504,0,0,NA
1.2,2.36,"yes","strain2_reentered_before_strain1_escaped",1,0.992321706158435,0,0.00767829384156549,0.992321706158435,0.00767829384156549,0,0,NA
1.2,2.37,"yes","strain2_reentered_before_strain1_escaped",1,0.992335274108312,0,0.00766472589168821,0.992335274108312,0.00766472589168821,0,0,NA
1.2,2.38,"yes","strain2_reentered_before_strain1_escaped",1,0.992345779782557,0,0.00765422021744266,0.992345779782557,0.00765422021744266,0,0,NA
1.2,2.39,"yes","strain2_reentered_before_strain1_escaped",1,0.992353266246377,0,0.00764673375362301,0.992353266246377,0.00764673375362301,0,0,NA
1.2,2.4,"yes","strain2_reentered_before_strain1_escaped",1,0.992357797076821,0,0.0076422029231793,0.992357797076821,0.0076422029231793,0,0,NA
1.2,2.41,"yes","strain2_reentered_before_strain1_escaped",1,0.992359462111137,0,0.00764053788886265,0.992359462111137,0.00764053788886265,0,0,NA
1.2,2.42,"yes","strain2_reentered_before_strain1_escaped",1,0.99235826834339,0,0.00764173165660975,0.99235826834339,0.00764173165660975,0,0,NA
1.2,2.43,"yes","strain2_reentered_before_strain1_escaped",1,0.992354296203318,0,0.00764570379668195,0.992354296203318,0.00764570379668195,0,0,NA
1.2,2.44,"yes","strain2_reentered_before_strain1_escaped",1,0.992347528208587,0,0.00765247179141337,0.992347528208587,0.00765247179141337,0,0,NA
1.2,2.45,"yes","strain2_reentered_before_strain1_escaped",1,0.99233805905331,0,0.00766194094669015,0.99233805905331,0.00766194094669015,0,0,NA
1.2,2.46,"yes","strain2_reentered_before_strain1_escaped",1,0.992325908207309,0,0.00767409179269107,0.992325908207309,0.00767409179269107,0,0,NA
1.2,2.47,"yes","strain2_reentered_before_strain1_escaped",1,0.992311102112285,0,0.00768889788771543,0.992311102112285,0.00768889788771543,0,0,NA
1.2,2.48,"yes","strain2_reentered_before_strain1_escaped",1,0.992293674072429,0,0.00770632592757059,0.992293674072429,0.00770632592757059,0,0,NA
1.2,2.49,"yes","strain2_reentered_before_strain1_escaped",1,0.992273664152385,0,0.00772633584761528,0.992273664152385,0.00772633584761528,0,0,NA
1.2,2.5,"yes","strain2_reentered_before_strain1_escaped",1,0.992251046222534,0,0.00774895377746621,0.992251046222534,0.00774895377746621,0,0,NA
1.2,2.51,"yes","strain2_reentered_before_strain1_escaped",1,0.992225877192157,0,0.00777412280784262,0.992225877192157,0.00777412280784262,0,0,NA
1.2,2.52,"yes","strain2_reentered_before_strain1_escaped",1,0.992198179636206,0,0.00780182036379373,0.992198179636206,0.00780182036379373,0,0,NA
1.2,2.53,"yes","strain2_reentered_before_strain1_escaped",1,0.992167963012291,0,0.0078320369877094,0.992167963012291,0.0078320369877094,0,0,NA
1.2,2.54,"yes","strain2_reentered_before_strain1_escaped",1,0.992135201737966,0,0.00786479826203368,0.992135201737966,0.00786479826203368,0,0,NA
1.2,2.55,"yes","strain2_reentered_before_strain1_escaped",1,0.992099957405575,0,0.00790004259442512,0.992099957405575,0.00790004259442512,0,0,NA
1.2,2.56,"yes","strain2_reentered_before_strain1_escaped",1,0.992062222664061,0,0.00793777733593903,0.992062222664061,0.00793777733593903,0,0,NA
1.2,2.57,"yes","strain2_reentered_before_strain1_escaped",1,0.992021995450359,0,0.00797800454964093,0.992021995450359,0.00797800454964093,0,0,NA
1.2,2.58,"yes","strain2_reentered_before_strain1_escaped",1,0.991979278983238,0,0.00802072101676243,0.991979278983238,0.00802072101676243,0,0,NA
1.2,2.59,"yes","strain2_reentered_before_strain1_escaped",1,0.99193408177726,0,0.00806591822274005,0.99193408177726,0.00806591822274005,0,0,NA
1.2,2.6,"yes","strain2_reentered_before_strain1_escaped",1,0.991886417654924,0,0.00811358234507586,0.991886417654924,0.00811358234507586,0,0,NA
1.2,2.61,"yes","strain2_reentered_before_strain1_escaped",1,0.991836243448489,0,0.00816375655151136,0.991836243448489,0.00816375655151136,0,0,NA
1.2,2.62,"yes","strain2_reentered_before_strain1_escaped",1,0.991783562856632,0,0.00821643714336784,0.991783562856632,0.00821643714336784,0,0,NA
1.2,2.63,"yes","strain2_reentered_before_strain1_escaped",1,0.991728429971239,0,0.00827157002876067,0.991728429971239,0.00827157002876067,0,0,NA
1.2,2.64,"yes","strain2_reentered_before_strain1_escaped",1,0.991670731635886,0,0.00832926836411374,0.991670731635886,0.00832926836411374,0,0,NA
1.2,2.65,"yes","strain2_reentered_before_strain1_escaped",1,0.991610548366824,0,0.00838945163317584,0.991610548366824,0.00838945163317584,0,0,NA
1.2,2.66,"yes","strain2_reentered_before_strain1_escaped",1,0.991547869136761,0,0.00845213086323893,0.991547869136761,0.00845213086323893,0,0,NA
1.2,2.67,"yes","strain2_reentered_before_strain1_escaped",1,0.991482579147092,0,0.00851742085290808,0.991482579147092,0.00851742085290808,0,0,NA
1.2,2.68,"yes","strain2_reentered_before_strain1_escaped",1,0.99141475028737,0,0.00858524971263042,0.99141475028737,0.00858524971263042,0,0,NA
1.2,2.69,"yes","strain2_reentered_before_strain1_escaped",1,0.991344355362266,0,0.00865564463773394,0.991344355362266,0.00865564463773394,0,0,NA
1.2,2.7,"yes","strain2_reentered_before_strain1_escaped",1,0.991271370516551,0,0.00872862948344943,0.991271370516551,0.00872862948344943,0,0,NA
1.2,2.71,"yes","strain2_reentered_before_strain1_escaped",1,0.991195775750727,0,0.00880422424927274,0.991195775750727,0.00880422424927274,0,0,NA
1.2,2.72,"yes","strain2_reentered_before_strain1_escaped",1,0.991117555009038,0,0.0088824449909618,0.991117555009038,0.0088824449909618,0,0,NA
1.2,2.73,"yes","strain2_reentered_before_strain1_escaped",1,0.991036696246217,0,0.00896330375378318,0.991036696246217,0.00896330375378318,0,0,NA
1.2,2.74,"yes","strain2_reentered_before_strain1_escaped",1,0.990953090939061,0,0.0090469090609393,0.990953090939061,0.0090469090609393,0,0,NA
1.2,2.75,"yes","strain2_reentered_before_strain1_escaped",1,0.990866798147759,0,0.00913320185224142,0.990866798147759,0.00913320185224142,0,0,NA
1.2,2.76,"yes","strain2_reentered_before_strain1_escaped",1,0.990777826167654,0,0.00922217383234569,0.990777826167654,0.00922217383234569,0,0,NA
1.2,2.77,"yes","strain2_reentered_before_strain1_escaped",1,0.990686000692617,0,0.00931399930738308,0.990686000692617,0.00931399930738308,0,0,NA
1.2,2.78,"yes","strain2_reentered_before_strain1_escaped",1,0.990591462047759,0,0.0094085379522405,0.990591462047759,0.0094085379522405,0,0,NA
1.2,2.79,"yes","strain2_reentered_before_strain1_escaped",1,0.990494016960585,0,0.00950598303941519,0.990494016960585,0.00950598303941519,0,0,NA
1.2,2.8,"yes","strain2_reentered_before_strain1_escaped",1,0.990393781091225,0,0.00960621890877467,0.990393781091225,0.00960621890877467,0,0,NA
1.2,2.81,"yes","strain2_reentered_before_strain1_escaped",1,0.990290611777355,0,0.00970938822264544,0.990290611777355,0.00970938822264544,0,0,NA
1.2,2.82,"yes","strain2_reentered_before_strain1_escaped",1,0.990184494076425,0,0.00981550592357494,0.990184494076425,0.00981550592357494,0,0,NA
