"varied_parameter","parameter_value","R0","K","r","alpha","step","tau","occupied_patches_raw","occupancy_fraction_raw","occupied_patches_established","patches_with_complete_window","occupancy_fraction_established","global_I"
"R0",1.5,1.5,10000,0.125,1e-04,22,50,200,1,200,200,1,36146
"R0",1.5,1.5,10000,0.125,1e-04,22.1,50,200,1,200,200,1,35549
"R0",1.5,1.5,10000,0.125,1e-04,22.2,50,200,1,200,200,1,34969
"R0",1.5,1.5,10000,0.125,1e-04,22.3,50,200,1,200,200,1,34412
"R0",1.5,1.5,10000,0.125,1e-04,22.4,50,200,1,200,200,1,34008
"R0",1.5,1.5,10000,0.125,1e-04,22.5,50,200,1,200,200,1,33408
"R0",1.5,1.5,10000,0.125,1e-04,22.6,50,200,1,200,200,1,32850
"R0",1.5,1.5,10000,0.125,1e-04,22.7,50,200,1,200,200,1,32399
"R0",1.5,1.5,10000,0.125,1e-04,22.8,50,200,1,200,200,1,31970
"R0",1.5,1.5,10000,0.125,1e-04,22.9,50,200,1,200,200,1,31564
"R0",1.5,1.5,10000,0.125,1e-04,23,50,200,1,200,200,1,31078
"R0",1.5,1.5,10000,0.125,1e-04,23.1,50,200,1,200,200,1,30701
"R0",1.5,1.5,10000,0.125,1e-04,23.2,50,200,1,200,200,1,30326
"R0",1.5,1.5,10000,0.125,1e-04,23.3,50,200,1,200,200,1,29844
"R0",1.5,1.5,10000,0.125,1e-04,23.4,50,200,1,200,200,1,29473
"R0",1.5,1.5,10000,0.125,1e-04,23.5,50,200,1,200,200,1,29221
"R0",1.5,1.5,10000,0.125,1e-04,23.6,50,200,1,200,200,1,28908
"R0",1.5,1.5,10000,0.125,1e-04,23.7,50,200,1,200,200,1,28624
"R0",1.5,1.5,10000,0.125,1e-04,23.8,50,200,1,200,200,1,28403
"R0",1.5,1.5,10000,0.125,1e-04,23.9,50,200,1,200,200,1,28070
"R0",1.5,1.5,10000,0.125,1e-04,24,50,200,1,200,200,1,27864
"R0",1.5,1.5,10000,0.125,1e-04,24.1,50,200,1,200,200,1,27633
"R0",1.5,1.5,10000,0.125,1e-04,24.2,50,200,1,200,200,1,27353
"R0",1.5,1.5,10000,0.125,1e-04,24.3,50,200,1,200,200,1,27129
"R0",1.5,1.5,10000,0.125,1e-04,24.4,50,200,1,200,200,1,26849
"R0",1.5,1.5,10000,0.125,1e-04,24.5,50,200,1,200,200,1,26679
"R0",1.5,1.5,10000,0.125,1e-04,24.6,50,200,1,200,200,1,26336
