"step","occupied_patches","global_I","local_extinctions","recolonizations"
74.5,148,53300,0,0
74.6,149,53202,0,1
74.7,149,52952,0,0
74.8,149,52672,0,0
74.9,149,52513,0,0
75,149,52314,0,0
75.1,149,52194,0,0
75.2,149,52130,0,0
75.3,149,52100,0,0
75.4,148,52192,1,0
75.5,147,52364,1,0
75.6,147,52443,0,0
75.7,147,52529,0,0
75.8,147,52750,0,0
75.9,147,52977,0,0
76,147,53097,0,0
76.1,147,53437,0,0
76.2,147,53926,0,0
76.3,147,54321,0,0
76.4,147,54874,0,0
76.5,147,55140,0,0
76.6,147,55712,0,0
76.7,147,56121,0,0
76.8,147,56411,0,0
76.9,147,56638,0,0
77,147,56867,0,0
77.1,147,57083,0,0
77.2,148,57138,0,1
77.3,149,57392,0,1
77.4,149,57676,1,1
77.5,149,57839,1,1
77.6,149,58077,0,0
77.7,149,58194,0,0
77.8,149,58406,0,0
77.9,149,58665,0,0
78,148,58726,1,0
78.1,148,59037,0,0
78.2,148,59379,0,0
78.3,147,59758,1,0
78.4,147,59934,0,0
78.5,147,60279,0,0
78.6,147,60482,0,0
78.7,147,60716,0,0
78.8,147,61227,0,0
78.9,147,61804,0,0
79,147,62352,0,0
79.1,147,62744,0,0
79.2,147,62998,0,0
79.3,148,63133,0,1
79.4,148,63182,0,0
79.5,147,63350,1,0
79.6,147,63223,0,0
79.7,147,63192,0,0
79.8,147,62909,0,0
79.9,147,62741,0,0
80,148,62475,0,1
80.1,148,62050,0,0
80.2,148,61687,0,0
80.3,149,61093,0,1
80.4,150,60494,0,1
80.5,150,59662,0,0
80.6,150,58979,0,0
80.7,150,58040,0,0
80.8,149,57408,1,0
80.9,151,56729,0,2
81,149,56177,2,0
81.1,149,55508,0,0
81.2,149,55007,0,0
81.3,149,54453,0,0
81.4,149,53902,1,1
81.5,149,53273,0,0
81.6,149,52829,0,0
81.7,149,52263,0,0
81.8,149,51830,0,0
81.9,148,51412,1,0
82,149,50790,0,1
82.1,149,50225,1,1
82.2,149,49675,0,0
82.3,147,49157,2,0
82.4,147,48675,0,0
82.5,147,48254,0,0
82.6,147,47493,0,0
82.7,147,46869,0,0
82.8,147,46223,0,0
82.9,147,45663,0,0
83,147,44972,0,0
83.1,147,44567,0,0
83.2,147,44127,0,0
83.3,147,43597,0,0
83.4,148,43220,0,1
83.5,148,42692,0,0
83.6,148,42435,0,0
83.7,148,42049,0,0
83.8,148,41878,0,0
83.9,148,41879,0,0
84,148,41601,0,0
84.1,148,41541,0,0
84.2,148,41576,1,1
84.3,147,41594,1,0
84.4,147,41572,0,0
84.5,147,41760,0,0
84.6,148,42034,0,1
84.7,149,42158,0,1
84.8,149,42307,0,0
84.9,150,42619,0,1
85,149,42771,1,0
85.1,148,43123,1,0
85.2,146,43210,2,0
85.3,146,43477,0,0
85.4,147,43568,0,1
85.5,146,43498,1,0
