"combo_id","replicate","patch","episode_id","start_time","end_time","censoring_time","observed_duration","extinction_observed","T0","threshold_multiplier","fadeout_threshold","survived_beyond_threshold","early_extinction","fadeout","right_censored"
"smoke",1,10,2,288,380,3650,92,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,10,3,629,710,3650,81,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,10,4,1510,1581,3650,71,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,10,5,1837,1912,3650,75,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,10,6,2178,2250,3650,72,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,10,7,2820,2921,3650,101,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,10,8,2997,3426,3650,429,TRUE,128.684649154444,1.5,193.026973731666,TRUE,FALSE,TRUE,FALSE
"smoke",1,11,1,0,109,3650,109,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,11,2,2243,2309,3650,66,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,11,3,2326,2329,3650,3,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,12,1,0,141,3650,141,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,12,2,308,311,3650,3,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,12,3,384,453,3650,69,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,12,4,595,596,3650,1,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,12,5,1344,1452,3650,108,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,12,6,2159,2162,3650,3,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,12,7,2279,2361,3650,82,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,12,8,2468,2469,3650,1,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,12,9,2618,2703,3650,85,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,13,1,0,125,3650,125,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,13,2,293,296,3650,3,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,13,3,693,697,3650,4,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,13,4,723,787,3650,64,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,13,5,791,795,3650,4,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,13,6,1450,1511,3650,61,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,13,7,1605,1609,3650,4,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,13,8,1634,1644,3650,10,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,13,9,1923,2023,3650,100,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,13,10,2147,2243,3650,96,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,13,11,2294,2301,3650,7,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,14,1,0,129,3650,129,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,14,2,682,749,3650,67,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,14,3,1039,1124,3650,85,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
