"step","patches_neither","patches_I1_only","patches_I2_only","patches_both","occupied_I1","occupied_I2","global_I1","global_I2","mean_N","I1_local_extinctions","I1_recolonizations","I2_local_extinctions","I2_recolonizations"
27.1,192,8,0,0,8,0,256,0,4778.205,0,0,0,0
27.2,192,8,0,0,8,0,261,0,4809.19,0,0,0,0
27.3,192,8,0,0,8,0,277,0,4840.05,0,0,0,0
27.4,192,8,0,0,8,0,289,0,4871.485,0,0,0,0
27.5,192,8,0,0,8,0,302,0,4902.575,0,0,0,0
27.6,192,8,0,0,8,0,310,0,4933.385,0,0,0,0
27.7,192,8,0,0,8,0,320,0,4964.825,0,0,0,0
27.8,192,8,0,0,8,0,325,0,4995.99,0,0,0,0
27.9,192,8,0,0,8,0,316,0,5027.685,0,0,0,0
28,192,8,0,0,8,0,344,0,5058.89,0,0,0,0
28.1,192,8,0,0,8,0,372,0,5090.36,0,0,0,0
28.2,192,8,0,0,8,0,398,0,5121.075,0,0,0,0
28.3,192,8,0,0,8,0,405,0,5151.85,0,0,0,0
28.4,192,8,0,0,8,0,422,0,5182.735,0,0,0,0
28.5,192,8,0,0,8,0,447,0,5213.735,0,0,0,0
28.6,192,8,0,0,8,0,476,0,5244.97,0,0,0,0
28.7,192,8,0,0,8,0,511,0,5275.645,0,0,0,0
28.8,192,8,0,0,8,0,539,0,5306.325,0,0,0,0
28.9,192,8,0,0,8,0,572,0,5338.02,0,0,0,0
29,192,8,0,0,8,0,600,0,5368.395,0,0,0,0
29.1,192,8,0,0,8,0,651,0,5399.505,0,0,0,0
29.2,192,8,0,0,8,0,699,0,5429.64,0,0,0,0
29.3,192,8,0,0,8,0,753,0,5460.08,0,0,0,0
29.4,192,8,0,0,8,0,794,0,5490.86,0,0,0,0
29.5,192,8,0,0,8,0,836,0,5521.765,0,0,0,0
29.6,192,8,0,0,8,0,892,0,5552.15,0,0,0,0
29.7,192,8,0,0,8,0,949,0,5582.73,0,0,0,0
29.8,192,8,0,0,8,0,1009,0,5612.82,0,0,0,0
29.9,192,8,0,0,8,0,1073,0,5642.74,0,0,0,0
30,192,8,0,0,8,0,1131,0,5672.76,0,0,0,0
30.1,192,8,0,0,8,0,1229,0,5703.76,0,0,0,0
30.2,192,8,0,0,8,0,1319,0,5733.96,0,0,0,0
30.3,192,8,0,0,8,0,1400,0,5764.505,0,0,0,0
30.4,192,8,0,0,8,0,1491,0,5794.965,0,0,0,0
